Center X,Center Y,Speed X,Speed Y
71.0,93.5,0.0,0.0
71.0,93.5,0.0,0.0
71.0,93.5,0.0,0.0
71.0,93.5,0.0,0.0
71.5,93.5,1.606633459152225,0.0
71.5,93.5,0.0,0.0
71.5,93.5,0.0,0.0
71.5,93.5,0.0,0.0
71.5,93.5,0.0,0.0
71.5,93.5,0.0,0.0
71.5,93.5,0.0,0.0
71.5,93.5,0.0,0.0
71.5,93.5,0.0,0.0
71.5,93.5,0.0,0.0
71.5,93.5,0.0,0.0
71.5,93.5,0.0,0.0
71.5,93.5,0.0,0.0
71.5,93.5,0.0,0.0
71.5,93.5,0.0,0.0
71.5,93.5,0.0,0.0
71.5,93.5,0.0,0.0
71.5,93.5,0.0,0.0
71.5,93.5,0.0,0.0
Center X,Center Y,Speed X,Speed Y
71.5,93.0,1.6075907575714619,0.0
71.5,93.0,0.0,0.0
71.5,93.0,0.0,0.0
71.5,93.0,0.0,0.0
71.5,93.0,0.0,0.0
71.5,93.0,0.0,0.0
71.5,93.0,0.0,0.0
71.5,93.0,0.0,0.0
71.5,93.0,0.0,0.0
71.5,93.0,0.0,0.0
71.5,93.0,0.0,0.0
71.5,93.0,0.0,0.0
71.5,93.0,0.0,0.0
71.5,93.0,0.0,0.0
71.5,93.0,0.0,0.0
Center X,Center Y,Speed X,Speed Y
Center X,Center Y,Speed X,Speed Y
Center X,Center Y,Speed X,Speed Y
Center X,Center Y,Speed X,Speed Y
Center X,Center Y,Speed X,Speed Y
Center X,Center Y,Speed X,Speed Y
Center X,Center Y,Speed X,Speed Y
Center X,Center Y,Speed X,Speed Y
50.0,69.0,3.922639362004479,0.0
50.0,69.0,0.0,0.0
50.0,69.0,0.0,0.0
50.0,69.0,0.0,0.0
50.0,69.0,0.0,0.0
50.0,69.0,0.0,0.0
50.0,69.0,0.0,0.0
